 ,Rxns,Reactions,Gene-Protein Rules,Lower Bound,Upper Bound
0,2 S-Adenosyl-L-methionine + Uroporphyrin III <=> 2 S-Adenosyl-L-homocysteine + Sirohydrochlorin,2 amet[c] + C02469  <=> 2 ahcys[c] + scl[c] ,MCON_0901,-20,20
0,3-Phospho-D-erythronate <=> Phosphoenol-4-deoxy-3-tetrulosonate + H2O,3per[c]  <=> h2o[c] + p4d3tetr[c] ,MCON_0157,-20,20
0,(S)-2-Acetolactate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate,thmpp[c] + alac_S[c]  <=> pyr[c] + M00561[c] ,MCON_0410 | MCON_0411,-20,20
0,2-Oxobutanoate + 2-(alpha-Hydroxyethyl)thiamine diphosphate <=> (S)-2-Aceto-2-hydroxybutanoate + Thiamin diphosphate,2obut[c] + M00561[c]  <=> thmpp[c] + 2ahbut[c] ,MCON_0410 | MCON_0411,-20,20
0,ATP + L-Selenomethionine + H2O <=> Orthophosphate + Diphosphate + Se-Adenosylselenomethionine,h2o[c] + atp[c] + selmeth[c]  <=> pi[c] + ppi[c] + seasmet[c] ,MCON_2824,-20,20
glycolysis,"beta-D-Fructose 1,6-bisphosphate + H2O <=> beta-D-Fructose 6-phosphate + Orthophosphate",h2o[c] + f26bp[c]  <=> pi[c] + f6p[c] ,MCON_2525 | MCON_2528,-20,20
0,ATP + Adenylylselenate <=> ADP + 3'-Phosphoadenylylselenate,atp[c] + adsel[c]  <=> adp[c] + 3padsel[c] ,MCON_2909,-20,20
0,2 Mycothiol + NAD+ <=> Mycothione + NADH + H+,nad[c] + 2 myct[c]  <=> nadh[c] + h[c] + mycotne[c] ,MCON_0536,-20,20
0,2 Mycothiol + NADP+ <=> Mycothione + NADPH + H+,nadp[c] + 2 myct[c]  <=> nadph[c] + h[c] + mycotne[c] ,MCON_0536,-20,20
0,ADP + D-Glucose <=> AMP + D-Glucose 6-phosphate,adp[c] + glc_D[c]  <=> amp[c] + g6p[c] ,MCON_0234,-20,20
0,Cobalt-precorrin 3 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 4 + S-Adenosyl-L-homocysteine,amet[c] + copre3[c]  <=> ahcys[c] + copre4[c] ,MCON_1681,-20,20
0,L-Iditol + NAD+ <=> L-Sorbose + NADH + H+,nad[c] + C01507[c]  <=> nadh[c] + h[c] + srb_L[c] ,MCON_0566,-20,20
0,L-Aspartate + H2O + NAD+ <=> Oxaloacetate + Ammonia + NADH + H+,h2o[c] + nad[c] + asp_L[c]  <=> nadh[c] + nh4[c] + oaa[c] + h[c] ,MCON_1163,-20,20
0,L-Aspartate + H2O + NADP+ <=> Oxaloacetate + Ammonia + NADPH + H+,h2o[c] + nadp[c] + asp_L[c]  <=> nadph[c] + nh4[c] + oaa[c] + h[c] ,MCON_1163,-20,20
0,NADH + H+ + Oxygen <=> NAD+ + Hydrogen peroxide,nadh[c] + o2[c] + h[c]  <=> nad[c] + h2o2[c] ,MCON_0597,-20,20
0,Hydrogen + NADP+ <=> NADPH + H+,nadp[c] + h2[c]  <=> nadph[c] + h[c] ,MCON_3103,-20,20
0,S-Adenosyl-L-methionine + Uroporphyrinogen III <=> S-Adenosyl-L-homocysteine + Precorrin 1,amet[c] + uppg3[c]  <=> ahcys[c] + pre1[c] ,MCON_0901,-20,20
0,S-Adenosyl-L-methionine + Precorrin 1 <=> S-Adenosyl-L-homocysteine + Precorrin 2,amet[c] + pre1[c]  <=> ahcys[c] + pre2[c] ,MCON_0901,-20,20
0,D-Glyceraldehyde 3-phosphate + D-Ribulose 5-phosphate + L-Glutamine <=> Pyridoxal phosphate + L-Glutamate + Orthophosphate + 3 H2O,gln_L[c] + g3p[c] + ru5p_D[c]  <=> 3 h2o[c] + pi[c] + pydx5p[c] + glu_L[c] ,MCON_2350 | MCON_2351,-20,20
0,Spermidine + NAD+ <=> Dehydrospermidine + NADH + H+,nad[c] + spmd[c]  <=> nadh[c] + h[c] + CE5586[c] ,MCON_3163 | MCON_3059,-20,20
0,2 ATP + HCO3- + Ammonia <=> 2 ADP + Orthophosphate + Carbamoyl phosphate,2 atp[c] + nh4[c] + hco3[c]  <=> 2 adp[c] + pi[c] + cbp[c] ,MCON_0086 | MCON_1025 | MCON_1026,-20,20
0,2-Hydroxyglutarate + NAD+ <=> 2-Oxoglutarate + NADH + H+,nad[c] + M00653[c]  <=> nadh[c] + akg[c] + h[c] ,MCON_3371,-20,20
glycolysis,"beta-D-Fructose 6-phosphate + ADP <=> beta-D-Fructose 1,6-bisphosphate + AMP",nad[c] + M00653[c]  <=> nadh[c] + akg[c] + h[c] ,MCON_0234,-20,20
0,O-Phospho-L-serine + Sulfite <=> L-Cysteate + Orthophosphate,so3[c] + pser_L[c]  <=> pi[c] + Lcyst[c] ,MCON_0195,-20,20
0,Cobyrinate + L-Glutamine + ATP + H2O <=> Cobyrinate c-monamide + L-Glutamate + ADP + Orthophosphate,h2o[c] + atp[c] + gln_L[c] + cobya[c]  <=> adp[c] + pi[c] + glu_L[c] + cobncmonamd[c] ,MCON_2971,-20,20
0,"Cobyrinate c-monamide + L-Glutamine + ATP + H2O <=> Cob(II)yrinate a,c diamide + L-Glutamate + ADP + Orthophosphate",h2o[c] + atp[c] + gln_L[c] + cobncmonamd[c]  <=> adp[c] + pi[c] + glu_L[c] + co2dam[c] ,MCON_2971,-20,20
0,ATP + Dephospho-CoA <=> 2'-(5-Triphosphoribosyl)-3'-dephospho-CoA + Adenine,atp[c] + dpcoa[c]  <=> ade[c] + 2tpr3dpcoa[c] ,MCON_0073,-20,20
0,Reduced coenzyme F420 + NADP+ <=> Coenzyme F420 + NADPH + H+,nadp[c] + coF420h[c]  <=> nadph[c] + h[c] + coF420[c] ,MCON_1371,-20,20
0,D-arabino-Hex-3-ulose 6-phosphate <=> beta-D-Fructose 6-phosphate,ah6p_D[c]  <=> f6p[c] ,MCON_0429,-20,20
0,8-Oxo-dGTP + H2O <=> 8-Oxo-dGMP + Diphosphate,h2o[c] + 8oxdgtp[c]  <=> ppi[c] + 8oxdgmp[c] ,MCON_0143,-20,20
0,D-Ribose 5-phosphate + D-Glyceraldehyde 3-phosphate + Ammonia <=> Pyridoxal phosphate + 4 H2O + Orthophosphate,nh4[c] + r5p[c] + g3p[c]  <=> 4 h2o[c] + pi[c] + pydx5p[c] ,MCON_2350 | MCON_2351,-20,20
0,"ADP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> AMP + Orthophosphate + NADH",adp[c] + nadhx_S[c]  <=> nadh[c] + pi[c] + amp[c] ,MCON_1530,-20,20
0,"ADP + (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate <=> AMP + Orthophosphate + NADPH",adp[c] + nadphx_S[c]  <=> nadph[c] + pi[c] + amp[c] ,MCON_1530,-20,20
0,"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide <=> (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide",nadhx_R[c]  <=> nadhx_S[c] ,MCON_1530,-20,20
0,"(6R)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate <=> (6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate",nadphx_R[c]  <=> nadphx_S[c] ,MCON_1530,-20,20
0,5-Phospho-alpha-D-ribose 1-diphosphate + 4-Aminobenzoate <=> 4-(beta-D-Ribofuranosyl)aniline 5'-phosphate + CO2 + Diphosphate,prpp[c] + 4abz[c]  <=> co2[c] + ppi[c] + 4bdriboanil5p[c] ,MCON_2372 | MCON_0135,-20,20
0,"CDP-2,3-bis-(O-phytanyl)-sn-glycerol + L-Serine <=> CMP + 2,3-Bis-(O-phytanyl)-sn-glycero-1-phospho-L-serine",ser_L[c] + cdp23bisophytsnglyc[c]  <=> cmp[c] + dpgps[c] ,MCON_0461,-20,20
0,L-Threonine + ATP + HCO3- + H+ <=> L-Threonylcarbamoyladenylate + Diphosphate + H2O,atp[c] + h[c] + thr_L[c] + hco3[c]  <=> h2o[c] + ppi[c] + tcamp[c] ,MCON_0585,-20,20
0,"CDP-2,3-bis-(O-phytanyl)-sn-glycerol + 1D-myo-Inositol 3-phosphate <=> CMP + 1-Archaetidyl-1D-myo-inositol 3-phosphate",mi3p_D[c] + cdp23bisophytsnglyc[c]  <=> cmp[c] + archp[c] ,MCON_0773,-20,20
0,CTP + Phytol <=> CDP + Phytyl phosphate,ctp[c] + phytol1[c]  <=> cdp[c] + phyldpp[c] ,MCON_2378,-20,20
0,ATP + HCO3- <=> ADP + Carboxyphosphate,atp[c] + hco3[c]  <=> adp[c] + cap[c] ,MCON_0086 | MCON_1025 | MCON_1026,-20,20
0,Ammonia + Carboxyphosphate <=> Carbamate + Orthophosphate,nh4[c] + cap[c]  <=> pi[c] + cbmt[c] ,MCON_0086 | MCON_1025 | MCON_1026,-20,20
0,2-Iminobutanoate + H2O <=> 2-Oxobutanoate + Ammonia,h2o[c] + 2imin[c]  <=> nh4[c] + 2obut[c] ,MCON_0330,-20,20
0,2-Aminobut-2-enoate <=> 2-Iminobutanoate,2abut2en[c]  <=> 2imin[c] ,MCON_0330,-20,20
0,"Adenosine-GDP-cobinamide + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole <=> GMP + Adenosylcobalamin 5'-phosphate",5prdmbz[c] + agdpcbi[c]  <=> gmp[c] + adoc5p[c] ,MCON_1723,-20,20
0,"4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate <=> Diphosphate + Thiamin monophosphate + CO2",2mahmp[c] + 2c4mthzep[c]  <=> co2[c] + ppi[c] + thmmp[c] ,MCON_3369 | MCON_0806,-20,20
0,(R)-2-Hydroxyglutarate + NAD+ <=> 2-Oxoglutarate + NADH + H+,nad[c] + r2hglut[c]  <=> nadh[c] + akg[c] + h[c] ,MCON_3371,-20,20
0,Reduced coenzyme F420 + Methanophenazine <=> Coenzyme F420 + Dihydromethanophenazine,coF420h[c] + mphze[c]  <=> coF420[c] + dhmphze[c] ,MCON_3064 | MCON_3068 | MCON_3061 | MCON_3063 | MCON_3067 | MCON_3069 | MCON_3070 | MCON_2389 | MCON_3060 | MCON_3062,-20,20
0,"Ni(II)-pyridinium-3,5-bisthiocarboxylate mononucleotide <=> Pyridinium-3,5-bisthiocarboxylate mononucleotide + Nickel(2+)",niiipyridnium35bistcaatemntd[c]  <=> ni2[c] + p2tmn[c] ,MCON_0898 | MCON_0941,-20,20
0,"Deamino-NAD+ + HCO3- <=> AMP + Pyridinium-3,5-biscarboxylic acid mononucleotide",hco3[c] + dnad[c]  <=> amp[c] + p2cmn[c] ,MCON_1809,-20,20
0,"ATP + Pyridinium-3,5-biscarboxylic acid mononucleotide <=> Diphosphate + 5-Carboxy-1-(5-O-phospho-beta-D-ribofuranosyl)pyridin-1-ium-3-carbonyl adenylate",atp[c] + p2cmn[c]  <=> ppi[c] + 5ca15opbdribopyridn1ium3carbaden[c] ,MCON_2758,-20,20
0,ATP + Pyridinium-3-carboxy-5-thiocarboxylic acid mononucleotide <=> Diphosphate + 1-(5-O-Phospho-beta-D-ribofuranosyl)-5-(sulfanylcarbonyl)pyridin-1-ium-3-carbonyl adenylate,atp[c] + pctm[c]  <=> ppi[c] + 15opbdribo5sulfpyridn1ium3carbaden[c] ,MCON_2758,-20,20
0,(R)-S-Adenosyl-L-methionine + H2O <=> Adenosine + L-Methionine,h2o[c] + amet[c]  <=> met_L[c] + adn[c] ,MCON_2393,-20,20
0,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide + Ammonia <=> 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + H2O,nh4[c] + n5pd1ribu5am15pdribo4imidazcarbamd[c]  <=> h2o[c] + eig3p[c] + aicar[c] ,MCON_0619 | MCON_3300 | MCON_3301,-20,20
0,Ammonia + HCO3- <=> Carbamate + H2O,nh4[c] + hco3[c]  <=> h2o[c] + cbmt[c] ,MCON_2233,-20,20
0,3''-O-Acetyl-ADP-D-ribose + H2O <=> ADP-ribose + Acetate,h2o[c] + 3oacadprib_d[c]  <=> ac[c] + adprib[c] ,MCON_3110,-20,20
0,O-Acetyl-ADP-ribose + H2O <=> ADP-ribose + Acetate,h2o[c] + aadpr[c]  <=> ac[c] + adprib[c] ,MCON_3110,-20,20
0,ADP + D-Glucosamine <=> AMP + D-Glucosamine 6-phosphate,adp[c] + gam[c]  <=> amp[c] + gam6p[c] ,MCON_0234,-20,20
0,"3-(D-Glyceryl)-diphospho-5'-guanosine + 7,8-Didemethyl-8-hydroxy-5-deazariboflavin <=> GMP + 3PG-factor 420-0",ddhrb[c] + 3dglycdp5gsn[c]  <=> gmp[c] + 3pgfact4200[c] ,MCON_1062,-20,20
0,Iminoaspartate + H2O <=> Oxaloacetate + Ammonia,h2o[c] + iasp[c]  <=> nh4[c] + oaa[c] ,MCON_1163,-20,20
0,"4-Deoxy-L-erythro-hex-4-enopyranuronate <=> (4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate",45unsauratdlgulu[c]  <=> dt5hsu[c] ,MCON_0026,-20,20
0,4 Fe2+ + Oxygen + 6 H2O <=> 4 Iron(III) oxide-hydroxide + 8 H+,6 h2o[c] + o2[c] + 4 fe2[c]  <=> 8 h[c] + 4 feooh[c] ,MCON_2661,-20,20
0,2 Fe2+ + Oxygen + 4 H2O <=> 2 Iron(III) oxide-hydroxide + 4 H+ + Hydrogen peroxide,4 h2o[c] + o2[c] + 2 fe2[c]  <=> h2o2[c] + 4 h[c] + 2 feooh[c] ,MCON_2661,-20,20
0,2 Fe2+ + Hydrogen peroxide + 2 H2O <=> 2 Iron(III) oxide-hydroxide + 4 H+,2 h2o[c] + h2o2[c] + 2 fe2[c]  <=> 4 h[c] + 2 feooh[c] ,MCON_2661,-20,20
rn00010 Glycolysis / Gluconeogenesis; rn00710 Carbon fixation by Calvin cycle; rn01110 Biosynthesis of secondary metabolites; rn01200 Carbon metabolism; rn01230 Biosynthesis of amino acids,D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate + NADH + H+,nad[c] + pi[c] + g3p[c]  <=> nadh[c] + h[c] + 13dpg[c] ,MCON_2908,-20,20
rn00010 Glycolysis / Gluconeogenesis; rn00710 Carbon fixation by Calvin cycle; rn01110 Biosynthesis of secondary metabolites; rn01200 Carbon metabolism; rn01230 Biosynthesis of amino acids,D-Glyceraldehyde 3-phosphate + Orthophosphate + NADP+ <=> 3-Phospho-D-glyceroyl phosphate + NADPH + H+,nadp[c] + pi[c] + g3p[c]  <=> nadph[c] + h[c] + 13dpg[c] ,MCON_2908,-20,20
rn00010 Glycolysis / Gluconeogenesis; rn00710 Carbon fixation by Calvin cycle; rn01110 Biosynthesis of secondary metabolites; rn01200 Carbon metabolism; rn01230 Biosynthesis of amino acids,ATP + 3-Phospho-D-glycerate <=> ADP + 3-Phospho-D-glyceroyl phosphate,atp[c] + 3pg[c]  <=> adp[c] + 13dpg[c] ,MCON_2355,-20,20
rn00030 Pentose phosphate pathway,ATP + D-Ribose <=> ADP + D-Ribose 5-phosphate,atp[c] + rib_D[c]  <=> adp[c] + r5p[c] ,MCON_1689,-20,20
rn00030 Pentose phosphate pathway,2-Deoxy-D-ribose 5-phosphate + ADP <=> Deoxyribose + ATP,adp[c] + 2dr5p[c]  <=> atp[c] + drib[c] ,MCON_1689,-20,20
rn00030 Pentose phosphate pathway,"D-Ribose 1,5-bisphosphate <=> D-Ribulose 1,5-bisphosphate",r15bp[c]  <=> rb15bp[c] ,MCON_0206,-20,20
rn00030 Pentose phosphate pathway; rn00680 Methane metabolism; rn01200 Carbon metabolism; rn01230 Biosynthesis of amino acids,D-Ribulose 5-phosphate + Formaldehyde <=> D-arabino-Hex-3-ulose 6-phosphate,fald[c] + ru5p_D[c]  <=> ah6p_D[c] ,MCON_0429 | MCON_1383,-20,20
rn00030 Pentose phosphate pathway; rn00680 Methane metabolism; rn01200 Carbon metabolism; rn01230 Biosynthesis of amino acids,D-arabino-Hex-3-ulose 6-phosphate <=> D-Fructose 6-phosphate,ah6p_D[c]  <=> f6p[c] ,MCON_0429,-20,20
rn00040 Pentose and glucuronate interconversions,Xylitol + NAD+ <=> D-Xylulose + NADH + H+,nad[c] + xylt[c]  <=> nadh[c] + h[c] + xylu_D ,MCON_0566,-20,20
rn00040 Pentose and glucuronate interconversions,4-Deoxy-L-threo-hex-4-enopyranuronate <=> 5-Dehydro-4-deoxy-D-glucuronate,45unsauratdglcu[c]  <=> 5dh4dglcn[c] ,MCON_0026,-20,20
rn00051 Fructose and mannose metabolism,D-Sorbitol + NAD+ <=> D-Fructose + NADH + H+,nad[c] + sbt_D[c]  <=> nadh[c] + h[c] + fru[c] ,MCON_0566,-20,20
rn00051 Fructose and mannose metabolism,L-Fuculose 1-phosphate <=> Glycerone phosphate + (S)-Lactaldehyde,fc1p[c]  <=> dhap[c] + lald_L[c] ,MCON_1374,-20,20
rn00051 Fructose and mannose metabolism,D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde,f1p[c]  <=> dhap[c] + glyald[c] ,MCON_2528 | MCON_1478 | MCON_3321 | MCON_3232 | MCON_2526,-20,20
rn00051 Fructose and mannose metabolism,D-Allose 6-phosphate <=> D-Allulose 6-phosphate,all6p[c]  <=> allul6p[c] ,MCON_3136,-20,20
"rn00220 Arginine biosynthesis; rn00250 Alanine, aspartate and glutamate metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",N-(L-Arginino)succinate <=> Fumarate + L-Arginine,argsuc[c]  <=> arg_L[c] + fum[c] ,MCON_1456,-20,20
"rn00220 Arginine biosynthesis; rn00250 Alanine, aspartate and glutamate metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",ATP + L-Citrulline + L-Aspartate <=> AMP + Diphosphate + N-(L-Arginino)succinate,atp[c] + asp_L[c] + citr_L[c]  <=> ppi[c] + amp[c] + argsuc[c] ,MCON_3352,-20,20
rn00220 Arginine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids,Acetyl-CoA + L-Glutamate <=> CoA + N-Acetyl-L-glutamate,accoa[c] + glu_L[c]  <=> coa[c] + acglu[c] ,MCON_1455,-20,20
rn00220 Arginine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids,N-Acetylornithine + 2-Oxoglutarate <=> N-Acetyl-L-glutamate 5-semialdehyde + L-Glutamate,akg[c] + acorn[c]  <=> glu_L[c] + acg5sa[c] ,MCON_1613,-20,20
rn00220 Arginine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids,ATP + N-Acetyl-L-glutamate <=> ADP + N-Acetyl-L-glutamate 5-phosphate,atp[c] + acglu[c]  <=> adp[c] + acg5p[c] ,MCON_2654,-20,20
rn00220 Arginine biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01210 2-Oxocarboxylic acid metabolism; rn01230 Biosynthesis of amino acids,N-Acetyl-L-glutamate 5-semialdehyde + Orthophosphate + NADP+ <=> N-Acetyl-L-glutamate 5-phosphate + NADPH + H+,nadp[c] + pi[c] + acg5sa[c]  <=> nadph[c] + h[c] + acg5p[c] ,MCON_1453,-20,20
rn00230 Purine metabolism,"ATP <=> 3',5'-Cyclic AMP + Diphosphate",atp[c]  <=> ppi[c] + camp[c] ,MCON_1159,-20,20
rn00230 Purine metabolism,"ADP + ATP <=> Orthophosphate + P1,P4-Bis(5'-adenosyl)tetraphosphate",atp[c] + adp[c]  <=> pi[c] + AppppA[c] ,MCON_2026,-20,20
rn00230 Purine metabolism,"GTP <=> 3',5'-Cyclic GMP + Diphosphate",gtp[c]  <=> ppi[c] + 35cgmp[c] ,MCON_1159,-20,20
rn00230 Purine metabolism,3'-AMP + H2O <=> Adenosine + Orthophosphate,h2o[c] + 3amp[c]  <=> pi[c] + adn[c] ,MCON_0299,-20,20
rn00230 Purine metabolism,"Adenylyl sulfate + ATP <=> Sulfate + P1,P4-Bis(5'-adenosyl)tetraphosphate",atp[c] + aps[c]  <=> so4[c] + AppppA[c] ,MCON_2026,-20,20
rn00230 Purine metabolism,Guanosine 3'-phosphate + H2O <=> Guanosine + Orthophosphate,h2o[c] + 3gmp[c]  <=> pi[c] + gsn[c] ,MCON_0299,-20,20
rn00230 Purine metabolism,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + Diphosphate <=> 5-Amino-4-imidazolecarboxyamide + 5-Phospho-alpha-D-ribose 1-diphosphate,ppi[c] + aicar[c]  <=> prpp[c] + 5a4icamd[c] ,MCON_2988,-20,20
rn00230 Purine metabolism,N6-Succino-2-amino-2'-deoxyadenylate <=> dZMP + Fumarate,dsmp[c]  <=> fum[c] + dzmp[c] ,MCON_2669,-20,20
rn00230 Purine metabolism,dZDP + ATP <=> dZTP + ADP,atp[c] + dzdp[c]  <=> adp[c] + dztp[c] ,MCON_1703,-20,20
"rn00230 Purine metabolism; rn00250 Alanine, aspartate and glutamate metabolism; rn01232 Nucleotide metabolism; rn01240 Biosynthesis of cofactors","N6-(1,2-Dicarboxyethyl)-AMP <=> Fumarate + AMP",dcamp[c]  <=> amp[c] + fum[c] ,MCON_2669,-20,20
"rn00230 Purine metabolism; rn00250 Alanine, aspartate and glutamate metabolism; rn01232 Nucleotide metabolism; rn01240 Biosynthesis of cofactors","GTP + IMP + L-Aspartate <=> GDP + Orthophosphate + N6-(1,2-Dicarboxyethyl)-AMP",gtp[c] + asp_L[c] + imp[c]  <=> pi[c] + gdp[c] + dcamp[c] ,MCON_0554,-20,20
rn00230 Purine metabolism; rn00670 One carbon pool by folate; rn01110 Biosynthesis of secondary metabolites,10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <=> Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide,10fthf[c] + gar[c]  <=> thf[c] + fgam[c] ,MCON_2025,-20,20
rn00230 Purine metabolism; rn00670 One carbon pool by folate; rn01110 Biosynthesis of secondary metabolites,10-Formyltetrahydrofolate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide <=> Tetrahydrofolate + 1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,10fthf[c] + aicar[c]  <=> thf[c] + fprica[c] ,MCON_1368,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,IMP + H2O <=> 1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide,h2o[c] + imp[c]  <=> fprica[c] ,MCON_1471 | MCON_1368,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,ATP + 5-Phosphoribosylamine + Glycine <=> ADP + Orthophosphate + 5'-Phosphoribosylglycinamide,atp[c] + gly[c] + pram[c]  <=> adp[c] + pi[c] + gar[c] ,MCON_1872,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,ATP + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine <=> ADP + Orthophosphate + Aminoimidazole ribotide,atp[c] + 15pribonfglycdne[c]  <=> adp[c] + pi[c] + air[c] ,MCON_1652,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,ATP + 5'-Phosphoribosyl-N-formylglycinamide + L-Glutamine + H2O <=> ADP + Orthophosphate + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine + L-Glutamate,h2o[c] + atp[c] + gln_L[c] + fgam[c]  <=> adp[c] + pi[c] + glu_L[c] + 15pribonfglycdne[c] ,MCON_0209 | MCON_0208 | MCON_0207,-20,20
rn00230 Purine metabolism; rn01110 Biosynthesis of secondary metabolites,1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole <=> Fumarate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide,25aics[c]  <=> fum[c] + aicar[c] ,MCON_2669,-20,20
